br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
8501380.0,169534.0,28988223.0,39948684.0
8932884.0,171916.0,29305999.0,42343632.0
4009549.0,162490.0,16333567.0,18476113.0
6276070.0,276651.0,26692979.0,29115209.0
4510556.0,168964.0,17825594.0,21240514.0
64208.0,2412.0,1127432.0,300955.0
57021.0,4868.0,547785.0,271171.0
1310319.0,87480.0,7548269.0,6381030.0
679562.0,40694.0,3133067.0,2970687.0
3109203.0,85807.0,10910748.0,15005343.0
3061154.0,155730.0,13576542.0,13941311.0
5630307.0,288518.0,23945451.0,25127948.0
6493653.0,273889.0,23307705.0,28909434.0
7700801.0,308475.0,27639152.0,33148936.0
1611643.0,82966.0,8984911.0,7386676.0
358705.0,13497.0,1656087.0,1518021.0
146768.0,5426.0,890927.0,677404.0
54417.0,1596.0,279980.0,250516.0
12749627.0,145020.0,39439218.0,63858913.0
10841444.0,88274.0,29016250.0,52332605.0
12692410.0,188829.0,44873118.0,60318022.0
6243523.0,174943.0,26470975.0,28299889.0
12592768.0,54738.0,27463428.0,57831275.0
13357725.0,66631.0,30079548.0,62368359.0
7171894.0,256323.0,27361990.0,31907875.0
9715269.0,95587.0,25582114.0,44399242.0
11249012.0,67296.0,26161839.0,52429935.0
13544102.0,49432.0,30085504.0,62392940.0
13521381.0,50514.0,30090633.0,62344509.0
11981122.0,88267.0,30011846.0,55863663.0
4209057.0,39653.0,28160854.0,89866682.0
2466157.0,2899.0,28283395.0,112484194.0
2453996.0,2684.0,28146240.0,111930193.0
2468615.0,2590.0,28323724.0,112599509.0
2468393.0,2593.0,28316674.0,112588452.0
2464093.0,2746.0,28295247.0,112387044.0
2469450.0,2901.0,28319191.0,112635016.0
2468192.0,2899.0,28306745.0,112575403.0
2470072.0,2903.0,28327449.0,112664636.0
2463548.0,2905.0,28308776.0,112368709.0
2480160.0,3421.0,28278696.0,112088532.0
2466064.0,2898.0,28284112.0,112479167.0
2469624.0,2895.0,28323610.0,112639181.0
2468359.0,2393.0,28298079.0,112591023.0
2470099.0,2408.0,28316776.0,112665723.0
2469603.0,2407.0,28312329.0,112638758.0
3286425.0,15409.0,28409751.0,105099215.0
