CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
24442,74591,2124,199,0,327,359601,653017,28513,3240,0,2387,18460255,16656730,505973,47575,117,152579,137212,461479,15371,1530,10,1438
103633,176205,9348,845,0,981,11610,140399,2988,302,0,428,18215208,16635574,479574,49684,73,171530,53134,476932,9719,974,10,1011
103834,151135,7057,596,0,848,20060,162261,3182,418,0,514,14497702,14253567,438647,42819,3,162534,83000,470357,10978,1070,10,1306
91003,97986,4006,374,0,457,23791,185857,3979,405,0,626,12004587,10388097,329665,31242,32,113331,84179,585316,10690,998,10,1263
102584,152130,5186,471,0,809,3119,68656,405,47,0,49,13355644,12211304,403433,40711,7,134069,57828,497910,11563,1028,10,1161
90467,95947,4232,381,0,581,2941,51585,621,100,0,37,8811203,9043288,363259,34084,48,100339,85632,416496,9956,1269,10,673
101327,159073,5111,433,0,728,3119,37739,582,81,0,97,14453523,12779508,382894,39558,57,137503,50565,298819,8047,877,10,682
90419,91932,3914,344,0,522,10209,56820,1115,138,0,167,9685715,9317005,331946,32504,25,97681,85730,353363,8824,1143,10,704
102173,160655,5133,422,0,742,3108,25751,684,89,0,97,6640128,7401707,300402,27840,47,86703,75754,286281,10013,1058,10,899
102763,131096,6664,562,0,704,3123,24816,708,92,0,102,14006624,12138969,311816,32675,26,130524,77886,290889,10792,1034,10,1215
101493,116758,5043,435,0,713,3119,24568,703,94,0,108,23518995,14550599,269640,32351,1,103518,56841,289261,11208,1044,10,1324
90492,91822,4019,351,0,521,3119,23519,745,104,0,102,43553692,17325698,95355,14205,0,43509,74715,290251,10641,1057,10,1262
103861,122844,5061,420,0,729,3119,24222,744,92,0,96,55654468,23134220,160167,20834,0,54710,59865,351545,11507,1102,10,1445
90199,95901,3993,346,0,500,3119,25357,646,77,0,94,75260741,31475935,185466,24189,0,62820,55510,402379,10185,953,10,1211
103451,121680,5129,426,0,701,3119,29792,712,106,0,93,97531753,39897794,195155,29104,0,88019,86821,498201,11898,1142,10,1542
90319,101296,3986,344,0,518,3119,44561,668,80,0,92,84134518,44880924,1060835,145965,0,49299,60487,443432,10338,990,10,1367
98148,124528,4830,416,0,639,3123,43202,513,78,0,33,86860028,42877976,368368,99816,22648,139965,77413,453348,11272,1038,10,1315
90811,104423,3980,361,0,533,3123,28672,687,85,0,98,100161252,48640761,519027,113909,26340,156651,60695,418207,11438,1076,10,1422
91972,120677,5059,422,0,549,2937,32040,761,88,0,93,101020425,48622366,518605,113144,26768,155448,55274,390320,10487,973,10,1237
97783,121887,5099,417,0,698,3123,32081,714,85,0,95,99391927,48627407,591725,122257,26052,150852,85001,451124,12762,1211,10,1599
90703,101955,3981,352,0,528,11254,108810,3213,294,0,380,98515783,48612353,626587,127069,25942,144003,76253,406916,11051,1022,10,1320
97396,119463,5180,464,0,741,3103,31405,696,89,0,97,98174271,48698665,640220,127672,25318,143158,76913,390893,11456,1061,10,1355
96834,117682,4978,452,0,669,3103,25785,531,74,0,43,97692522,48539375,642496,127870,25460,141371,64447,439208,11815,1190,10,1456
96758,116713,4973,458,0,663,3103,25838,569,81,0,39,97377475,48756545,638534,127944,25244,143282,75725,348828,11173,1012,10,1363
96711,120039,5078,442,0,720,3103,28767,679,90,0,98,101300769,50636203,663639,133233,26496,145444,59334,379252,11350,1078,10,1424
96776,119751,4907,439,0,689,3110,32793,749,87,0,105,100446342,50457893,660963,130987,26216,152214,75999,359048,10692,1025,10,1289
96801,115934,4543,353,0,679,3110,28064,581,70,0,99,100530880,50437550,651455,128499,26258,149886,59245,367929,11192,1060,10,1401
96839,124051,4968,434,0,687,3110,30260,720,88,0,96,100721376,50484269,646098,127883,26282,151418,81502,384929,10944,1020,10,1490
98330,132904,5765,516,0,728,3101,25404,624,90,0,37,100767146,50483267,646539,127972,26264,150099,58256,345029,10463,1070,10,1251
96750,121356,4889,402,0,661,3114,39912,762,92,0,101,99787419,50277548,654744,128566,25828,154004,58297,373228,11471,1070,10,1424
96922,118822,4833,423,0,609,3114,31717,572,98,0,31,100118869,50161025,657852,128991,26072,148473,75817,361204,11265,1039,10,1375
96640,115109,4472,353,0,680,3110,35749,665,98,0,98,100190033,50271942,649998,128235,25940,148707,63469,385931,11705,1193,10,1501
96862,121985,5049,451,0,757,3110,29908,705,101,0,111,100655168,50498517,654930,129327,26156,150482,52889,334905,10275,969,10,1168
96922,127932,4923,413,0,678,3099,31372,640,80,0,96,98848044,49507643,648642,127478,25568,147597,82318,430313,11840,1075,10,1491
96870,116298,4912,405,0,665,3110,31559,666,86,0,94,97152608,48613917,636026,125144,25192,145010,65132,437707,12006,1230,10,1500
96910,119119,4970,447,0,699,3114,26494,613,100,0,43,97285910,48539017,629707,124460,25182,145018,54041,386220,10133,947,10,1207
96894,120498,4845,404,0,689,3114,31572,617,83,0,102,97291320,48618928,630767,124513,25358,145741,82117,447336,12130,1131,10,1495
98388,131689,5946,502,0,708,3110,30209,666,86,0,96,97507430,48611785,642070,125791,25484,142211,59827,395145,10507,1085,10,1281
