CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
61315,376487,10246,1057,10,1268,3156853,3362937,127794,17695,0,24432,1089001,2378228,92961,14672,0,4499,3102418,3541237,194448,19828,0,29574
52465,238733,10262,953,10,1153,1757603,1993166,88019,11194,0,14053,1604300,2496260,111932,14360,0,11032,310829,552220,31878,4391,0,2647
58371,271697,11772,1107,10,1407,110122,187596,9932,927,0,1098,28435,121806,6965,693,0,768,27446,125508,8744,871,0,838
52460,241621,10490,985,10,1193,108802,158993,9160,983,0,943,9146880,4272262,33920,5628,0,8308,16878,83192,5455,581,0,534
60873,263620,11833,1197,10,1338,101646,141642,8170,652,0,875,18310623,8210725,41055,4097,0,16120,21780,99284,6970,644,0,623
57761,256715,12337,1162,10,1373,103082,128538,4301,436,0,569,5027861,2347404,22486,1948,0,4550,19350,105573,7195,624,0,743
51670,230512,10527,969,10,1189,776094,969735,49675,6047,0,5472,1006793,1277597,69585,8494,0,6866,334062,610415,39845,5125,0,3300
61934,274276,12208,1198,10,1427,3072806,3685550,192775,22216,0,30373,1744478,2653262,145363,16954,0,18756,338038,591841,37621,4926,0,3120
1013696,1798149,117945,13516,10,12552,2233478,2364024,89654,14080,0,13745,3284127,3884612,178181,22931,0,28167,209045,281549,19320,2092,0,1975
67388,326216,15036,1381,10,1669,5404661,4857261,215013,40410,0,15161,245474,712605,51173,6030,0,4121,16842,86466,5413,555,0,563
63142,283487,12663,1288,10,1483,10244828,8213922,313410,70703,0,12970,110028,182591,10570,982,0,1107,21891,120178,8098,754,0,775
50900,228989,10304,948,10,1167,10321950,8218738,311075,70369,0,12838,98520,144234,7862,697,0,867,13024,79549,4844,420,0,495
57082,314079,11063,1079,10,1283,16524717,13881027,496260,117923,0,20413,108846,202328,10056,1013,0,1021,21990,111664,7056,753,0,630
62732,407631,10975,1118,10,1332,26176874,22238217,781509,189396,0,32565,112549,271577,14121,1329,0,1366,18259,122955,7047,637,0,695
57820,508234,10686,1101,10,1188,35457849,30765535,1050548,269611,0,43872,103656,195538,8878,867,0,953,13654,99453,5142,479,0,518
63576,634576,11257,1100,10,1309,43513924,39146480,1306108,341253,0,54317,110826,319160,10426,1089,0,1145,23172,145259,8030,823,0,768
59879,519194,10693,1113,10,1193,61940499,46544188,670165,167542,0,30461,800100,2134656,120826,15765,0,10428,12947,94518,4949,472,0,481
164330,681907,13757,1543,10,1813,728624,1923811,7573,1188,0,1507,1166010,2514751,129294,23793,0,4111,16352,104992,3388,368,0,410
64729,529646,11397,1102,10,1368,449222,561770,8702,989,0,1782,1242600,3323348,105507,19663,0,3350,3123,55687,725,91,0,93
57455,462355,10532,998,10,1210,391386,648433,21001,3056,0,2944,1472962,2668434,120626,22029,0,4105,3130,59817,687,79,0,93
68855,568136,12332,1221,10,1470,270385,347609,10979,1795,0,1329,1622428,2148310,33131,5948,0,4065,3130,59617,698,87,0,107
58928,514433,10513,982,10,1220,265265,343123,10962,1707,0,1368,1576348,2059890,30448,5491,0,4014,3130,51710,682,78,0,90
65096,549893,11797,1117,10,1404,262989,339169,10873,1683,0,1480,1646592,2138064,32374,5809,0,4118,3130,56341,713,85,0,95
57378,481180,10131,928,10,1150,462787,544965,15142,2430,0,1477,1695433,3318847,32514,5821,0,3982,15550,103400,3827,429,0,465
70500,616446,11950,1234,10,1378,275715,383825,13031,1994,0,1551,1621495,2122192,31696,5685,0,3934,3121,38843,651,86,0,91
67798,551471,10778,1047,10,1333,284975,391402,13100,1852,0,1566,1598115,2137494,34756,5928,0,4208,44018,251434,11755,1069,0,1218
58272,415703,4422,585,10,415,677178,866183,24127,4233,0,2385,1392670,1893634,29898,5460,0,4058,114421,594903,39799,3381,0,3869
69941,569391,11281,1176,10,1291,302101,382417,11692,1838,0,1524,1520198,2050988,31167,5453,0,4109,11393,87387,4392,434,0,381
